"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","permutedMatrix1","targetReferencePhraseTrial1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","permutedMatrix2","targetReferencePhraseTrial2"
1,"001011000","E0S_targ_phrase-stims/S1-trial1.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"glasses",1,"101001000","one on the left","E0S_targ_phrase-stims/S1-trial2.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"chocolate sauce",1,"101000100","one on the left"
2,"001011000","E0S_targ_phrase-stims/S2-trial1.jpg",0,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"gloves",1,"101000100","one on the left","E0S_targ_phrase-stims/S2-trial2.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"glasses",1,"101001000","one on the left"
3,"001011000","E0S_targ_phrase-stims/S3-trial1.jpg",0,"face","faces",3,1,2,"hat","a hat",1,"a mustache",2,"001000101","one on the right","E0S_targ_phrase-stims/S3-trial2.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","a cherry",1,"whipped cream",2,"001101000","one on the left"
4,"001011000","E0S_targ_phrase-stims/S4-trial1.jpg",1,"face","faces",2,1,3,"hat","a hat",2,"a mustache",1,"110000100","one in the middle","E0S_targ_phrase-stims/S4-trial2.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"011001000","one on the right"
5,"001011000","E0S_targ_phrase-stims/S5-trial1.jpg",0,"face","faces",1,2,3,"glasses","glasses",1,"a mustache",2,"000100110","one on the left","E0S_targ_phrase-stims/S5-trial2.jpg",1,"snowman","snowmen",2,3,1,"scarf","a scarf",2,"gloves",1,"000011001","one in the middle"
6,"001011000","E0S_targ_phrase-stims/S6-trial1.jpg",1,"face","faces",1,3,2,"mustache","glasses",1,"a mustache",2,"000001101","one on the left","E0S_targ_phrase-stims/S6-trial2.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"chocolate sauce",2,"010000110","one in the middle"
7,"001011000","E0S_targ_phrase-stims/S7-trial1.jpg",1,"sundae","sundaes",1,2,3,"whipped cream","a cherry",1,"whipped cream",2,"010110000","one on the left","E0S_targ_phrase-stims/S7-trial2.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"a mustache",1,"011000001","one on the right"
8,"001011000","E0S_targ_phrase-stims/S8-trial1.jpg",0,"face","faces",2,3,1,"hat","a hat",1,"glasses",2,"010011000","one in the middle","E0S_targ_phrase-stims/S8-trial2.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","a cherry",1,"whipped cream",2,"001101000","one on the left"
9,"001011000","E0S_targ_phrase-stims/S9-trial1.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"gloves",2,"001000011","one on the right","E0S_targ_phrase-stims/S9-trial2.jpg",1,"sundae","sundaes",3,2,1,"chocolate","a cherry",1,"chocolate sauce",2,"010000011","one on the right"
10,"001011000","E0S_targ_phrase-stims/S10-trial1.jpg",1,"snowman","snowmen",1,3,2,"scarf","a scarf",2,"gloves",1,"000101001","one on the left","E0S_targ_phrase-stims/S10-trial2.jpg",0,"face","faces",2,3,1,"glasses","glasses",1,"a mustache",2,"000010011","one in the middle"
11,"001011000","E0S_targ_phrase-stims/S11-trial1.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"011010000","one in the middle","E0S_targ_phrase-stims/S11-trial2.jpg",1,"snowman","snowmen",2,3,1,"gloves","a scarf",1,"gloves",2,"000001011","one in the middle"
12,"001011000","E0S_targ_phrase-stims/S12-trial1.jpg",0,"sundae","sundaes",1,3,2,"whipped cream","whipped cream",1,"chocolate sauce",2,"000100101","one on the left","E0S_targ_phrase-stims/S12-trial2.jpg",1,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"001101000","one on the left"
13,"001011000","E0S_targ_phrase-stims/S13-trial1.jpg",1,"snowman","snowmen",3,1,2,"gloves","a beanie",1,"gloves",2,"100000101","one on the right","E0S_targ_phrase-stims/S13-trial2.jpg",0,"sundae","sundaes",1,2,3,"whipped cream","whipped cream",1,"chocolate sauce",2,"000100110","one on the left"
14,"001011000","E0S_targ_phrase-stims/S14-trial1.jpg",0,"snowman","snowmen",3,2,1,"gloves","a scarf",2,"gloves",1,"000011001","one on the right","E0S_targ_phrase-stims/S14-trial2.jpg",1,"sundae","sundaes",1,3,2,"chocolate","whipped cream",1,"chocolate sauce",2,"000001101","one on the left"
15,"001011000","E0S_targ_phrase-stims/S15-trial1.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",1,"110010000","one in the middle","E0S_targ_phrase-stims/S15-trial2.jpg",1,"snowman","snowmen",3,2,1,"scarf","a scarf",2,"gloves",1,"000011010","one on the right"
16,"001011000","E0S_targ_phrase-stims/S16-trial1.jpg",0,"snowman","snowmen",1,3,2,"beanie","a beanie",1,"a scarf",2,"100101000","one on the left","E0S_targ_phrase-stims/S16-trial2.jpg",1,"sundae","sundaes",3,1,2,"cherry","a cherry",2,"whipped cream",1,"101100000","one on the right"
17,"001011000","E0S_targ_phrase-stims/S17-trial1.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"011001000","one on the right","E0S_targ_phrase-stims/S17-trial2.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"a mustache",1,"101000001","one on the left"
18,"001011000","E0S_targ_phrase-stims/S18-trial1.jpg",0,"snowman","snowmen",1,2,3,"gloves","a scarf",2,"gloves",1,"000110100","one on the left","E0S_targ_phrase-stims/S18-trial2.jpg",1,"face","faces",2,1,3,"glasses","a hat",1,"glasses",2,"100110000","one in the middle"
19,"001011000","E0S_targ_phrase-stims/S19-trial1.jpg",1,"face","faces",2,1,3,"glasses","glasses",2,"a mustache",1,"000110100","one in the middle","E0S_targ_phrase-stims/S19-trial2.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"011001000","one on the right"
20,"001011000","E0S_targ_phrase-stims/S20-trial1.jpg",0,"face","faces",1,2,3,"hat","a hat",1,"a mustache",2,"100000110","one on the left","E0S_targ_phrase-stims/S20-trial2.jpg",1,"snowman","snowmen",1,3,2,"gloves","a scarf",1,"gloves",2,"000001101","one on the left"
21,"001011000","E0S_targ_phrase-stims/S21-trial1.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","whipped cream",1,"chocolate sauce",2,"000010110","one in the middle","E0S_targ_phrase-stims/S21-trial2.jpg",1,"snowman","snowmen",1,2,3,"gloves","a scarf",1,"gloves",2,"000010110","one on the left"
22,"001011000","E0S_targ_phrase-stims/S22-trial1.jpg",1,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"001101000","one on the left","E0S_targ_phrase-stims/S22-trial2.jpg",0,"sundae","sundaes",1,2,3,"whipped cream","a cherry",2,"whipped cream",1,"110100000","one on the left"
23,"001011000","E0S_targ_phrase-stims/S23-trial1.jpg",1,"snowman","snowmen",3,1,2,"scarf","a scarf",2,"gloves",1,"000101100","one on the right","E0S_targ_phrase-stims/S23-trial2.jpg",0,"face","faces",1,3,2,"mustache","a hat",2,"a mustache",1,"101000100","one on the left"
24,"001011000","E0S_targ_phrase-stims/S24-trial1.jpg",1,"face","faces",3,1,2,"glasses","glasses",2,"a mustache",1,"000101100","one on the right","E0S_targ_phrase-stims/S24-trial2.jpg",0,"sundae","sundaes",1,3,2,"cherry","a cherry",1,"chocolate sauce",2,"100000101","one on the left"
25,"001011000","E0S_targ_phrase-stims/S25-trial1.jpg",1,"face","faces",3,1,2,"hat","a hat",2,"glasses",1,"101100000","one on the right","E0S_targ_phrase-stims/S25-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a scarf",2,"gloves",1,"000101001","one on the right"
26,"001011000","E0S_targ_phrase-stims/S26-trial1.jpg",1,"sundae","sundaes",3,1,2,"cherry","a cherry",2,"whipped cream",1,"101100000","one on the right","E0S_targ_phrase-stims/S26-trial2.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"a mustache",1,"011000001","one on the right"
27,"001011000","E0S_targ_phrase-stims/S27-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",1,"a mustache",2,"001000101","one on the left","E0S_targ_phrase-stims/S27-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a beanie",2,"gloves",1,"101000001","one on the right"
28,"001011000","E0S_targ_phrase-stims/S28-trial1.jpg",1,"face","faces",3,1,2,"mustache","a hat",1,"a mustache",2,"100000101","one on the right","E0S_targ_phrase-stims/S28-trial2.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"chocolate sauce",1,"101000100","one on the left"
29,"001011000","E0S_targ_phrase-stims/S29-trial1.jpg",0,"sundae","sundaes",1,2,3,"cherry","a cherry",1,"whipped cream",2,"100110000","one on the left","E0S_targ_phrase-stims/S29-trial2.jpg",1,"snowman","snowmen",3,1,2,"scarf","a beanie",1,"a scarf",2,"100101000","one on the right"
30,"001011000","E0S_targ_phrase-stims/S30-trial1.jpg",1,"snowman","snowmen",2,3,1,"beanie","a beanie",2,"a scarf",1,"011001000","one in the middle","E0S_targ_phrase-stims/S30-trial2.jpg",0,"face","faces",2,1,3,"mustache","glasses",2,"a mustache",1,"000110010","one in the middle"
31,"001011000","E0S_targ_phrase-stims/S31-trial1.jpg",0,"snowman","snowmen",2,3,1,"scarf","a scarf",1,"gloves",2,"000010011","one in the middle","E0S_targ_phrase-stims/S31-trial2.jpg",1,"sundae","sundaes",3,2,1,"cherry","a cherry",2,"chocolate sauce",1,"011000010","one on the right"
32,"001011000","E0S_targ_phrase-stims/S32-trial1.jpg",1,"sundae","sundaes",2,3,1,"whipped cream","a cherry",1,"whipped cream",2,"001011000","one in the middle","E0S_targ_phrase-stims/S32-trial2.jpg",0,"face","faces",1,3,2,"glasses","glasses",1,"a mustache",2,"000100101","one on the left"
33,"001011000","E0S_targ_phrase-stims/S33-trial1.jpg",1,"face","faces",2,3,1,"mustache","a hat",1,"a mustache",2,"001000011","one in the middle","E0S_targ_phrase-stims/S33-trial2.jpg",0,"snowman","snowmen",2,1,3,"scarf","a scarf",1,"gloves",2,"000010110","one in the middle"
34,"001011000","E0S_targ_phrase-stims/S34-trial1.jpg",0,"sundae","sundaes",3,2,1,"whipped cream","a cherry",2,"whipped cream",1,"011001000","one on the right","E0S_targ_phrase-stims/S34-trial2.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"a mustache",1,"110000010","one on the left"
35,"001011000","E0S_targ_phrase-stims/S35-trial1.jpg",0,"face","faces",3,1,2,"hat","a hat",1,"a mustache",2,"001000101","one on the right","E0S_targ_phrase-stims/S35-trial2.jpg",1,"sundae","sundaes",2,1,3,"chocolate","whipped cream",1,"chocolate sauce",2,"000100110","one in the middle"
36,"001011000","E0S_targ_phrase-stims/S36-trial1.jpg",0,"face","faces",2,3,1,"mustache","a hat",2,"a mustache",1,"011000010","one in the middle","E0S_targ_phrase-stims/S36-trial2.jpg",1,"snowman","snowmen",1,2,3,"scarf","a scarf",2,"gloves",1,"000110010","one on the left"
37,"001011000","E0S_targ_phrase-stims/S37-trial1.jpg",0,"sundae","sundaes",2,3,1,"chocolate","whipped cream",2,"chocolate sauce",1,"000011010","one in the middle","E0S_targ_phrase-stims/S37-trial2.jpg",1,"snowman","snowmen",1,3,2,"beanie","a beanie",2,"gloves",1,"101000001","one on the left"
38,"001011000","E0S_targ_phrase-stims/S38-trial1.jpg",1,"snowman","snowmen",1,3,2,"scarf","a beanie",1,"a scarf",2,"001101000","one on the left","E0S_targ_phrase-stims/S38-trial2.jpg",0,"face","faces",2,1,3,"hat","a hat",1,"glasses",2,"010110000","one in the middle"
39,"001011000","E0S_targ_phrase-stims/S39-trial1.jpg",1,"face","faces",3,2,1,"hat","a hat",2,"glasses",1,"011010000","one on the right","E0S_targ_phrase-stims/S39-trial2.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"chocolate sauce",1,"101000100","one on the left"
40,"001011000","E0S_targ_phrase-stims/S40-trial1.jpg",0,"snowman","snowmen",3,1,2,"beanie","a beanie",1,"gloves",2,"001000101","one on the right","E0S_targ_phrase-stims/S40-trial2.jpg",1,"sundae","sundaes",3,2,1,"cherry","a cherry",2,"chocolate sauce",1,"011000010","one on the right"
41,"001011000","E0S_targ_phrase-stims/S41-trial1.jpg",1,"snowman","snowmen",3,2,1,"scarf","a scarf",2,"gloves",1,"000011010","one on the right","E0S_targ_phrase-stims/S41-trial2.jpg",0,"face","faces",3,1,2,"hat","a hat",1,"a mustache",2,"001000101","one on the right"
42,"001011000","E0S_targ_phrase-stims/S42-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",1,"a mustache",2,"001000101","one on the left","E0S_targ_phrase-stims/S42-trial2.jpg",0,"sundae","sundaes",1,3,2,"cherry","a cherry",1,"chocolate sauce",2,"100000101","one on the left"
43,"001011000","E0S_targ_phrase-stims/S43-trial1.jpg",0,"sundae","sundaes",3,2,1,"chocolate","a cherry",2,"chocolate sauce",1,"011000001","one on the right","E0S_targ_phrase-stims/S43-trial2.jpg",1,"face","faces",3,2,1,"hat","a hat",2,"a mustache",1,"011000010","one on the right"
44,"001011000","E0S_targ_phrase-stims/S44-trial1.jpg",0,"face","faces",1,2,3,"glasses","a hat",2,"glasses",1,"110100000","one on the left","E0S_targ_phrase-stims/S44-trial2.jpg",1,"snowman","snowmen",2,3,1,"gloves","a beanie",1,"gloves",2,"001000011","one in the middle"
45,"001011000","E0S_targ_phrase-stims/S45-trial1.jpg",0,"face","faces",2,3,1,"mustache","glasses",2,"a mustache",1,"000011010","one in the middle","E0S_targ_phrase-stims/S45-trial2.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",1,"110100000","one in the middle"
46,"001011000","E0S_targ_phrase-stims/S46-trial1.jpg",0,"face","faces",1,2,3,"hat","a hat",1,"a mustache",2,"100000110","one on the left","E0S_targ_phrase-stims/S46-trial2.jpg",1,"snowman","snowmen",1,2,3,"scarf","a scarf",2,"gloves",1,"000110010","one on the left"
47,"001011000","E0S_targ_phrase-stims/S47-trial1.jpg",1,"face","faces",3,1,2,"glasses","a hat",1,"glasses",2,"100101000","one on the right","E0S_targ_phrase-stims/S47-trial2.jpg",0,"sundae","sundaes",2,3,1,"cherry","a cherry",1,"chocolate sauce",2,"010000011","one in the middle"
48,"001011000","E0S_targ_phrase-stims/S48-trial1.jpg",0,"snowman","snowmen",2,1,3,"beanie","a beanie",1,"gloves",2,"010000110","one in the middle","E0S_targ_phrase-stims/S48-trial2.jpg",1,"sundae","sundaes",2,1,3,"whipped cream","whipped cream",2,"chocolate sauce",1,"000110100","one in the middle"
49,"001011000","E0S_targ_phrase-stims/S49-trial1.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"a scarf",2,"001011000","one on the right","E0S_targ_phrase-stims/S49-trial2.jpg",1,"face","faces",1,3,2,"glasses","glasses",2,"a mustache",1,"000101001","one on the left"
50,"001011000","E0S_targ_phrase-stims/S50-trial1.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","whipped cream",2,"chocolate sauce",1,"000101001","one on the left","E0S_targ_phrase-stims/S50-trial2.jpg",0,"face","faces",2,1,3,"mustache","glasses",2,"a mustache",1,"000110010","one in the middle"
